video_name,duration,detected_ratio,zone_ratio,zone_stay_time,zone_entry_count,move_distance,avg_speed,direction_change,max_box_area
osp_normal_000_1.MOV,4.468,0.5485,0.5986,1.467,2,1182.672,264.678,39,297353
osp_normal_000_2.MOV,4.335,0.65,0.6686,1.884,1,1481.181,341.679,30,421820
osp_normal_001.MOV,5.87,0.5597,0.4619,1.518,4,1799.039,306.48,24,372164
osp_normal_002.MOV,4.937,0.3986,0.4237,0.834,1,1410.424,285.704,25,446886
osp_normal_003.MOV,3.385,0.2414,0.5714,0.467,2,525.8,155.332,6,308958
osp_normal_004.MOV,5.053,0.7558,0.3406,1.301,2,2045.25,404.733,41,541782
osp_normal_005.MOV,5.153,0.4563,0.4823,1.134,1,1436.35,278.722,21,473186
osp_normal_006.MOV,4.853,0.2955,0.4419,0.634,1,676.823,139.455,20,630315
osp_normal_007.MOV,5.47,0.4634,0.1382,0.35,1,1489.226,272.253,20,580019
osp_normal_008.MOV,4.235,0.2756,0.0,0.0,0,1055.905,249.328,1,444542
osp_normal_009.MOV,4.618,0.4549,0.5635,1.184,1,1053.014,228.007,13,705250
osp_normal_010.MOV,4.268,0.5625,0.5833,1.401,1,1402.675,328.624,24,672792
osp_normal_011.MOV,6.42,0.4909,0.7196,2.268,4,1471.581,229.218,39,390816
osp_normal_012.MOV,6.32,0.4116,0.4936,1.284,4,1202.515,190.271,54,275990
osp_normal_013.MOV,5.22,0.4952,0.6516,1.684,3,1893.38,362.716,46,457156
osp_normal_014.MOV,5.387,0.4861,0.6178,1.618,2,1146.688,212.875,71,298738
osp_normal_015.MOV,4.987,0.5284,0.7468,1.968,6,1464.526,293.688,50,402696
osp_normal_016.MOV,11.457,0.7977,0.8431,7.704,1,1621.598,141.542,159,310992
osp_normal_017.MOV,7.17,0.6953,0.7592,3.785,1,1821.297,254.016,123,301268
osp_normal_018.MOV,7.37,0.7195,0.9151,4.852,2,2451.892,332.685,93,479360
osp_normal_019.MOV,7.353,0.7075,0.8301,4.319,1,1798.696,244.61,86,448668
osp_normal_020.MOV,7.353,0.6961,0.8762,4.485,2,1369.647,186.262,81,456396
osp_normal_021.MOV,4.953,0.5185,0.6558,1.684,1,1452.892,293.316,20,573496
osp_normal_022.MOV,5.403,0.5154,0.6647,1.851,1,1293.438,239.378,44,497226
osp_normal_023.MOV,6.17,0.5703,0.6872,2.418,1,1744.74,282.778,50,583736
osp_normal_024.MOV,3.452,0.7053,0.9521,2.318,2,1444.359,418.453,37,607104
osp_normal_025.MOV,6.47,0.7036,0.9634,4.386,1,2125.157,328.463,64,619913
IMG_7124.MOV,5.97,0.6341,0.7885,2.985,1,1634.011,273.704,55,470496
IMG_7125.MOV,7.805,0.5662,0.6604,2.919,1,1651.868,211.642,89,353084
IMG_7126.MOV,6.853,0.7494,0.9805,5.036,1,2321.921,338.802,79,531058
IMG_7127.MOV,6.953,0.7194,0.8633,4.319,1,1766.252,254.015,72,496296
osp_normal_.MOV,6.303,0.5714,0.7917,2.852,1,1890.164,299.867,55,515933
IMG_3663.MOV,16.84,0.9188,0.0,0.0,0,6013.792,357.114,123,1119378
IMG_3664.MOV,18.208,0.6996,0.0,0.0,0,9880.893,542.658,71,1372410
IMG_3665.MOV,13.272,0.9095,0.0,0.0,0,4944.075,372.529,74,1609050
IMG_3666.MOV,23.043,0.7554,0.0,0.0,0,12044.087,522.671,116,1633554
IMG_3667.MOV,23.577,0.761,0.0,0.0,0,11656.374,494.403,95,1540596
IMG_3648.MOV,11.372,0.8182,0.0,0.0,0,4120.244,362.325,127,1526599
IMG_3649.MOV,12.572,0.8435,0.0,0.0,0,3472.36,276.205,143,1670117
IMG_3650.MOV,10.438,0.8243,0.0,0.0,0,3053.337,292.512,97,1408311
IMG_3651.MOV,11.705,0.849,0.0,0.0,0,4421.865,377.776,146,1732419
IMG_3652.MOV,10.272,0.7825,0.0,0.0,0,4335.008,422.036,94,1603169
IMG_3653.MOV,10.305,0.877,0.0,0.0,0,4507.486,437.408,65,2064632
IMG_3654.MOV,10.238,0.8078,0.0,0.0,0,3990.812,389.791,71,2060080
IMG_3655.MOV,9.47,0.8169,0.0,0.0,0,4202.991,443.822,57,2571760
IMG_3656.MOV,11.172,0.7433,0.0,0.0,0,3094.041,276.954,75,1566285
IMG_3657.MOV,10.405,0.7532,0.0,0.0,0,3766.765,362.015,67,2152592
IMG_3658.MOV,9.403,0.7553,0.0,0.0,0,3665.437,389.802,58,1886840
IMG_3659.MOV,11.038,0.8187,0.0,0.0,0,2970.487,269.107,76,2077335
IMG_3660.MOV,12.205,0.8661,0.0,0.0,0,3060.554,250.762,102,1438240
IMG_3661.MOV,15.54,0.9056,0.0,0.0,0,4133.376,265.983,103,2276592
IMG_3662.MOV,8.37,0.8127,0.0,0.0,0,2389.159,285.443,64,1260948
IMG_3668.MOV,12.405,0.871,0.0,0.0,0,1619.803,130.577,140,1036350
IMG_3669.MOV,12.472,1.0,0.0,0.0,0,1337.963,107.28,166,863800
IMG_3670.MOV,15.173,0.9934,0.0,0.0,0,3359.898,221.434,121,1128372
IMG_3671.MOV,13.005,0.4897,0.0,0.0,0,732.866,56.353,124,414869
IMG_3672.MOV,12.772,0.4125,0.0,0.0,0,990.235,77.534,57,504812
IMG_7545.MOV,8.17,0.8,0.8929,5.836,1,1648.09,201.725,72,397575
IMG_7546.MOV,9.27,0.8345,0.9181,7.103,1,2029.665,218.95,66,511290
IMG_7547.MOV,9.87,0.8277,0.9143,7.469,1,2627.492,266.21,103,508030
IMG_7548.MOV,4.568,1.0,1.0,4.568,1,348.034,76.184,56,259896
IMG_7549.MOV,7.703,0.9048,0.9426,6.57,1,976.388,126.749,80,322408
IMG_7555.MOV,12.372,0.7925,0.8878,8.704,1,1972.533,159.44,79,511965
IMG_7556.MOV,14.507,0.8368,0.956,11.605,1,1835.7,126.542,124,547000
IMG_7557.MOV,16.407,0.8923,0.9613,14.072,1,1652.416,100.716,136,540792
IMG_7558.MOV,14.64,0.8292,0.9093,11.038,1,1827.396,124.822,89,457322
IMG_7559.MOV,18.308,0.9089,0.994,16.541,1,2335.441,127.562,148,565248
IMG_7560.MOV,9.77,0.843,0.8664,7.136,1,1578.187,161.534,98,438170
IMG_7561.MOV,10.072,0.8543,0.9031,7.771,1,1703.408,169.129,95,442581
IMG_7562.MOV,11.872,0.8427,0.9333,9.337,1,2657.999,223.894,123,542079
IMG_7563.MOV,9.703,0.8282,1.0,8.036,1,1982.386,204.299,74,855540
IMG_7564.MOV,11.072,0.8163,0.9483,8.571,1,2159.127,195.014,91,689052
IMG_7550.MOV,10.672,0.85,0.8787,7.97,1,1604.586,150.359,87,466925
IMG_7551.MOV,13.105,0.9084,0.9636,11.471,1,1035.989,79.053,98,377036
IMG_7552.MOV,13.005,0.9103,0.9915,11.738,1,1230.214,94.595,105,751980
IMG_7553.MOV,15.107,0.8565,0.9948,12.872,2,1865.369,123.48,115,632672
IMG_7554.MOV,11.238,0.7834,0.947,8.337,1,1563.589,139.13,94,611758
IMG_7565.MOV,6.903,0.8213,0.9235,5.236,1,1932.001,279.865,70,693840
IMG_7568.MOV,6.97,1.0,1.0,6.97,1,861.626,123.619,70,277123
IMG_7569.MOV,6.437,1.0,1.0,6.437,1,1321.877,205.367,51,322056
IMG_7570.MOV,5.602,1.0,0.8333,4.668,4,1235.237,220.512,67,329987
IMG_7571.MOV,6.037,0.9006,0.908,4.936,1,2311.296,382.876,76,305982
